group,Matriline,AnimalID.text,DOB,MaternalID.text,Birth.Season,ExitAge2,First_born,Died,MomAllLossType,High_temperature,High_temperatureLog,Rainfall,RainfallLog,Group_size,Group_sizeLog,Maternal_kin_count,Maternal_kin_countLog,Matriline_rank,CompetingSib,Maternal_loss,Hurricane,female,CumulIndex,Cumulative_early_life_adversity,censored,time,timeYr
R,'091,'77G,35450,'X91,1997,4418,N,1,0,0.890913603,0.890999197,-1.082266799,-1.155976694,0.069944483,0.324447031,0.187557518,0.440336861,H,Y,N,0None,F,2.807979363,-0.745248043,0,4419,12.10684932
J,'031,'375,25591,'XJ,1970,5169,N,0,0,-2.029742157,-2.0556846,2.342097768,2.0762123,-1.558316491,-2.400446539,0.685606888,0.838286063,H,N,N,0None,F,1.178622455,-2.698778054,1,5170,14.16438356
F,'065,'71E,35078,'Z07,1996,2208,Y,0,0,-0.644940392,-0.638010822,-0.327012133,-0.250414928,1.29616571,1.046512482,-0.808541222,-0.795806263,H,N,N,0None,F,3.718262611,0.346143067,1,2209,6.052054795
J,'031,'A54,28866,'Z1,1979,1880,N,0,0,-1.417089357,-1.423786277,3.202756416,2.64797077,-0.472809175,-0.160320746,2.677804368,1.886531608,H,N,N,0None,F,1.213592289,-2.656850704,1,1881,5.153424658
F,'065,'99I,35807,'Z11,1998,4122,N,1,0,1.020386942,1.017893311,-0.072356112,0.022434775,2.019837253,1.349555946,0.187557518,0.440336861,H,Y,N,Georges,F,4.105231801,0.810102757,0,4123,11.29589041
F,'065,'43F,35075,'Z14,1996,9164,Y,1,0,-0.63180542,-0.624744752,-0.29412609,-0.214361344,1.255961735,1.02769276,-0.310491852,-0.07270889,H,N,N,0None,F,3.656671755,0.272298236,0,9165,25.10958904
J,'031,'420,25981,'031,1971,4752,N,0,1,-0.716713657,-0.710559414,-0.998786845,-1.047746954,-1.518112516,-2.216717286,0.685606888,0.838286063,H,N,Y,0None,F,3.033712042,-0.474604109,1,4753,13.02191781
A,'069,'HH,21974,'069,1960,1468,N,1,1,-0.076383575,-0.066809885,-0.004616487,0.092659443,-1.03566482,-0.924422711,-1.306590592,-2.031949388,H,Y,Y,0None,F,3.317409029,-0.134463422,0,1469,4.024657534
A,'069,'LV,22329,'069,1961,2607,N,1,1,-0.906232596,-0.902606424,0.276179721,0.3740194,-0.81454296,-0.575540172,-1.306590592,-2.031949388,H,N,Y,0None,F,3.137188658,-0.350540024,0,2608,7.145205479
I,'091,'WD,23412,'091,1964,3293,N,1,0,-1.605670075,-1.617486065,-0.890291013,-0.910378833,-1.618622452,-2.728003015,-0.808541222,-0.795806263,H,N,N,0None,F,1.947088098,-1.777420255,0,3294,9.024657534
A,'119,'GI,23427,'119,1964,2815,N,0,0,-1.800349186,-1.818198499,-0.836605251,-0.843729379,-0.553217124,-0.247983696,-1.306590592,-2.031949388,H,N,N,0None,F,2.183954079,-1.493427963,1,2816,7.715068493
I,'091,'585,27083,'234,1974,5827,N,0,0,-1.152044303,-1.152742884,0.668844689,0.743502425,-1.33719463,-1.593023521,-1.306590592,-2.031949388,H,N,N,0None,F,1.900454702,-1.833331724,1,5828,15.96712329
I,'091,'808,28160,'234,1977,4752,N,0,0,-1.197547609,-1.199177112,-0.583354617,-0.540387594,-0.995460845,-0.854508632,-0.808541222,-0.795806263,H,N,N,0None,F,2.125593856,-1.563399402,1,4753,13.02191781
I,'091,'D05,29624,'234,1981,3292,N,0,0,-0.445101109,-0.436536709,0.924906096,0.970996224,-0.311993276,0.00070829,0.685606888,0.838286063,H,N,N,0None,F,2.043419807,-1.66192261,1,3293,9.021917808
L,'RB,'606,27068,'278,1974,3679,N,1,0,-1.172684972,-1.173800763,0.669406844,0.744012957,-1.33719463,-1.593023521,-0.310491852,-0.07270889,H,N,N,0None,F,1.79580949,-1.958796906,0,3680,10.08219178
