group,Matriline,AnimalID.text,DOB,Sex,MaternalID.text,Birth.Season,csi_ff_avg,ExitAge2,Died,s_csiff,censored,time,ExitFour,CensorFour,ExitFourYr
F,'065,'7P7,41163,FEMALE,'64P,2013,1.377052459,513,0,0.749407408,1,514,513,1,1.405479452
F,'065,'8P3,41174,FEMALE,'6C0,2013,3.257544439,1910,0,4.494820339,1,1911,1460,1,4
F,'065,'6O0,41180,FEMALE,'73B,2013,1.048203879,1904,0,0.094433212,1,1905,1460,1,4
F,'004,'0O2,41193,FEMALE,'79Z,2013,0.209011953,474,0,-1.577001884,1,475,474,1,1.298630137
F,'065,'0O6,41182,MALE,'82A,2013,0.851132861,2608,0,-0.298077019,1,2609,1460,1,4
F,'004,'8P1,41171,MALE,'82L,2013,0.722927137,762,0,-0.553426885,1,763,762,1,2.087671233
F,'004,'1Q1,41197,FEMALE,'87K,2013,1.95930974,759,0,1.909100708,1,760,759,1,2.079452055
F,'004,'7P8,41160,MALE,'8B0,2013,0.671823294,801,0,-0.655211415,1,802,801,1,2.194520548
F,'004,'I1390D,41166,MALE,'90D,2013,0.292525097,10,1,-1.410667108,0,11,10,0,0.02739726
F,'073,'I1393Z,41191,MALE,'93Z,2013,0.606092506,106,1,-0.786128721,0,107,106,0,0.290410959
F,'065,'0O9,41160,MALE,'98T,2013,0.989412093,2595,0,-0.022663548,1,2596,1460,1,4
F,'073,'3S9,41500,MALE,'00J,2014,1.046445841,1674,1,0.090931693,0,1675,1460,1,4
F,'073,'9Q2,41526,FEMALE,'03J,2014,1.715094218,458,0,1.42269184,1,459,458,1,1.254794521
F,'065,'6Q9,41537,MALE,'0A4,2014,0.296806809,447,0,-1.402139138,1,448,447,1,1.224657534
F,'073,'2S9,41503,FEMALE,'0A9,2014,0.781073307,481,0,-0.437616012,1,482,481,1,1.317808219
F,'004,'3S4,41513,FEMALE,'0C6,2014,1.219396661,1571,0,0.435401248,1,1572,1460,1,4
F,'004,'7R9,41521,MALE,'1A3,2014,0.647641506,826,0,-0.70337476,1,827,826,1,2.263013699
F,'004,'6Q3,41512,MALE,'1C0,2014,1.790222191,1374,1,1.572325704,0,1375,1374,0,3.764383562
F,'004,'4S1,41555,FEMALE,'20F,2014,0.414115936,1529,0,-1.168492239,1,1530,1460,1,4
